ÍNDICE;CÓD. ESTAÇÃO;LATITUDE;LONGITUDE;BACIA HIDROGRÁFICA;RECURSO HÍDRICO;REGIÃO;MUNICÍPIO;AMBIENTE;DATA COLETA;HORA COLETA;CHUVA 24H;ALCALINIDADE;ALUMÍNIO;CÁDMIO;CHUMBO;CLORETO;CLOROFILA A;COBRE;COLIFORMES TERMOTOLERANTES;COLIFORMES TOTAIS;CONDUTIVIDADE;CROMO TOTAL;DEMANDA BIOQUÍMICA DE OXIGÊNIO;DEMANDA QUÍMICA DE OXIGÊNIO;ESCHERICHIA COLI;FERRO;FITOPLANCTON  - CIANOBACTÉRIAS;FOSFATO ORTO;FÓSFORO TOTAL;MANGANÊS;MERCÚRIO EM MICROGRAMA POR LITRO (UG/L);NÍQUEL;NITRATO;NITROGÊNIO AMONIACAL;NITROGÊNIO ORGÂNICO;NITROGÊNIO TOTAL KJELDAHL;OXIGÊNIO DISSOLVIDO;PH;PROFUNDIDADE COLETA;PROFUNDIDADE TOTAL;SALINIDADE;SÓLIDOS DISSOLVIDOS TOTAIS;SÓLIDOS SUSPENSOS TOTAIS;SÓLIDOS TOTAIS;TEMPERATURA DA ÁGUA;TEMPERATURA DO AR;TRANSPARÊNCIA DA ÁGUA;TURBIDEZ;VAZÃO RECURSO HÍDRICO;ZINCO
48;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/09/2016;11:12:00;AUSENTE;=       20,0000;;;;=      721,0000;=        2,3600;;;;    2671,0000;;=        1,0000;=       28,0000;<       10,0000;;=    28199,0000;<        0,0100;=        0,0790;;;;B;=        0,1430;;=        1,1000;       8,8700;       7,8500;       0,2000;       3,6000;       1,3900;=     1423,0000;<       10,0000;;      17,8000;      15,0000;       1,0000;=        4,0000;;
49;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;15/12/2016;09:45:00;AUSENTE;=       54,1000;;;;=     3422,0000;=       14,8500;;;;   11425,0000;;=        1,0000;=       99,0000;>     2419,6000;;=    77088,0000;=        0,0140;=        0,0920;;;;<        0,0200;=        0,6070;;=        1,7300;       7,9000;       7,7800;       0,2000;       3,7500;       6,5300;=     6867,0000;<       10,0000;;      18,5800;      17,4700;       1,2000;=        3,3000;;
50;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;28/03/2017;10:20:00;AUSENTE;=       78,6000;;;;=     4520,0000;=       12,9000;;;;   12067,0000;;=        4,0000;=      175,0000;=      100,0000;;=   162630,0000;=        0,0190;=        0,0490;;;;B;=        0,2110;;=        0,3230;       8,8000;       8,0700;       0,2000;       3,4000;       6,9100;=     8567,0000;<       10,0000;;      22,2000;      22,8000;       0,8000;       3,7000;;
51;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/06/2017;10:31:00;AUSENTE;=       22,1000;;<        0,0060;;=      255,0000;=        8,8000;<        0,0040;;>     2419,6000;     699,9000;;=        2,0000;=       91,0000;=        8,5000;=        0,8790;=    61400,0000;=        0,0260;=        0,0560;=        0,0340;;=        0,0150;B;<        0,0640;;=        2,5900;       8,7900;       7,1800;       0,2000;       2,9000;       0,3400;=      520,0000;<       10,0000;;      16,4600;      17,6000;       0,8000;=        3,6000;;=        0,0120
52;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/09/2017;09:30:00;AUSENTE;=       29,1000;;<        0,0060;;=      589,0000;=        9,9500;<        0,0040;;;    2243,0000;;=        3,0000;=       95,0000;=    26900,0000;=        0,6330;=    32741,0000;=        0,0330;=        0,0700;=        0,0610;;<        0,0110;B;<        0,0640;;<        0,1620;       6,6600;       6,9500;       0,2000;       3,0000;       1,1500;=     1164,0000;=       10,0000;;      20,6800;      20,7000;       0,6000;      17,3000;;=        0,0090
53;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/12/2017;09:59:00;AUSENTE;=       50,4000;;<        0,0020;;=     1196,0000;=       16,3100;=        0,0040;;;    3965,1000;;=        2,0000;D;=      325,5000;=        0,3220;=  2003213,0000;=        0,0270;=        0,0690;=        0,3080;;G;B;=        0,0910;;=        1,3160;       5,9300;       8,4800;       0,2000;       2,6000;       2,1000;=     2254,0000;=       15,0000;;      23,1500;      24,4200;       0,6000;       9,6900;;=        0,0060
54;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/03/2018;10:00:00;AUSENTE;=       57,7000;;;;=    15179,0000;=       16,5900;;;;   42804,6000;;=        3,0000;=      858,0000;=      100,0000;;=      769,0000;=        0,0250;=        0,1030;;;;B;=        0,0740;;=        1,1900;       7,2300;       7,2000;       0,2000;       3,0000;      27,5900;>    20000,0000;=       48,0000;;      20,4800;      22,8700;       0,7000;;;
55;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;25/09/2018;10:22:00;AUSENTE;=       21,1000;B;<        0,0060;B;=      120,0000;=       12,3400;<        0,0040;;;     438,3000;B;       2,0000;      95,0000;=       52,0000;       1,7300;=     3029,0000;       0,0390;       0,0630;       0,0490;;<        0,0110;B;<        0,0640;;=        0,9330;       9,6000;       7,3300;       0,2000;       3,0000;       0,2100;=      206,0000;=       21,0000;;      19,1200;      20,3800;       0,5000;       1,7500;;=        0,0170
56;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/12/2018;09:41:00;AUSENTE;=       38,6000;G;G;G;=     3108,0000;=        6,4000;G;;;   11061,7000;G;       3,0000;     385,0000;=       35,0000;G;=     4876,0000;<        0,0100;       0,0530;G;;G;B;<        0,0640;;       1,2820;       7,0600;       7,4700;       0,2000;       2,4000;       6,2900;=     6898,0000;=       11,0000;;      22,6100;      24,8000;       1,2000;       3,0500;;G
57;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/03/2019;09:39:00;AUSENTE;      99,7000;B;G;B;    7278,0000;=        3,8600;G;;;   26305,2000;B;       1,0000;=       80,0000;=      156,0000;G;=   128028,0000;<        0,0100;       0,0120;G;;G;B;       0,2730;;       1,8600;       6,9600;       8,5500;       0,2000;       3,2000;      16,1200;   16113,0000;      14,0000;;      20,5500;      21,7700;       1,9000;;;G
58;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/06/2019;09:58:00;MÉDIA;      51,5000;G;G;G;    2740,0000;=       32,6700;G;;;    5350,0000;G;=        1,0000;G;=      325,5000;G;=   550467,0000;H;=        0,0370;G;;G;B;=        0,0940;;=        1,4000;       9,2300;       7,4700;       0,2000;       2,6000;       2,9000;    3278,0000;      18,0000;;      12,9100;      10,3000;       0,4000;      14,3000;;G
59;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;25/09/2019;09:46:00;AUSENTE;      25,9000;B;<        0,0060;B;     329,0000;=       13,1100;<        0,0040;;;    1129,0000;B;=        2,0000;      53,0000;=       10,0000;=        0,8420;=    16565,0000;=        0,0200;=        0,0560;=        0,0630;;<        0,0110;B;=        0,1650;;=        1,4100;       7,5500;       6,9900;       0,2000;       2,9000;       0,5600;     646,0000;      11,0000;;      18,2400;      19,3800;       0,6000;      14,0000;;=        0,0190
60;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;19/12/2019;09:37:00;AUSENTE;      42,3000;;;;    5802,0000;=       32,4600;;;;   15540,0000;;=        3,0000;G;=      200,0000;;=   136676,0000;=        0,0800;=        0,1380;;;;B;<        0,0640;;=        0,8300;       8,9100;       7,8100;       0,2000;       3,2500;       9,0800;   11115,0000;      46,0000;;      22,6800;      24,8200;       0,4000;      37,5000;;
61;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;19/03/2020;09:36:00;FRACA;=      121,8000;;;;=    22714,0000;;;;;   66123,0000;;       8,0000;G;=        6,3000;;=    59515,0000;       0,1160;       0,1690;;;;B;Z;;Z;       6,5900;       7,4300;       0,2000;       2,5000;      47,3900;>    20000,0000;=      144,0000;;      22,6300;      22,1900;       0,3000;      44,6800;;
62;87420350;-31,260818;-50,968189;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;22/08/2022;16:59:00;AUSENTE;      29,2000;;;;     724,5900;=        3,8100;;;;    2382,0000;;       2,0000;      55,0000;<      100,0000;;=      318,0000;<        0,0100;       0,0230;;;;B;B;;B;       9,6400;       7,6000;       0,2000;       3,0000;       1,4300;    1667,0000;      22,0000;;      18,0500;      15,5500;       0,7000;       4,5500;;
63;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;30/06/2016;08:35:00;AUSENTE;=       60,0000;;;;=     6540,0000;;;;;   20022,0000;;=        2,0000;G;=        1,0000;;=     1250,0000;=        0,0200;=        0,0500;;;;Z;<        0,0640;;B;       8,7600;       7,5200;       0,2000;       0,2000;;=    12192,0000;<       10,0000;;      13,7200;      13,0000;       0,2000;=        3,0000;;
64;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/09/2016;08:34:00;AUSENTE;=       74,0000;;;;=    10506,0000;=        0,4500;;;;   37273,5000;;=        3,0000;G;=        1,0000;;=     3839,0000;<        0,0100;=        0,0950;;;;B;=        0,1100;;=        0,6450;       6,3200;       8,5900;       0,2000;       0,4000;      23,6600;>    20000,0000;=       15,0000;;      15,9200;      14,0000;       0,4000;=        3,0000;;
65;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;15/12/2016;08:44:00;AUSENTE;=      103,1000;;;;=    17284,0000;=        0,0000;;;;   46640,0000;;=        1,0000;G;=      364,0000;;=      136,0000;=        0,0240;=        0,1130;;;;<        0,0200;=        0,7900;;=        1,6600;       7,2500;       8,0000;       0,2000;       0,4000;;>    20000,0000;=       26,0000;;      15,9000;      18,0500;       0,4000;=        4,5000;;
66;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;28/03/2017;09:10:00;AUSENTE;=      165,0000;;;;=    13349,0000;=       11,3100;;;;   32614,0000;;=        6,0000;G;=       52,0000;;=      213,0000;=        0,0130;=        0,0780;;;;B;<        0,0640;;<        0,1620;       7,5500;       8,5000;       0,2000;       0,4000;      20,7700;>    20000,0000;=       16,0000;;      21,4000;      22,5000;;       5,1000;;
67;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/06/2017;09:07:00;AUSENTE;=       57,9000;;=        0,0090;;=     2586,0000;=       20,6600;=        0,0110;;>     2419,6000;    5469,3000;;=        4,0000;=      271,0000;=       13,5000;=        1,2400;=    59532,0000;=        0,0330;=        0,0810;=        0,0950;;=        0,0440;B;<        0,0640;;=        1,7100;       9,1300;       7,9700;       0,2000;       0,3500;       2,9800;=     4853,0000;=       15,0000;;      15,6100;      16,2900;=        0,4000;=        8,3000;;=        0,0190
68;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/09/2017;08:30:00;AUSENTE;=       79,5000;;=        0,0360;;=     8064,0000;=        6,9700;=        0,0410;;<      100,0000;      20,5200;;=        3,0000;G;<      100,0000;=        0,6520;=     2588,0000;=        0,0180;=        0,0520;=        0,0840;;=        0,1590;B;<        0,0640;;<        0,1620;       5,5800;       7,0100;       0,2000;       0,3000;      15,7600;=    16792,0000;=       24,0000;;      20,3400;      19,3000;;       7,2100;;=        0,0310
69;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/12/2017;08:50:00;AUSENTE;=      106,0000;;<        0,0020;;=    19464,0000;=        2,8000;=        0,0040;=        2,0000;;   50165,1000;;=        2,0000;D;;<        0,0130;=     1153,0000;<        0,0100;=        0,0470;=        0,1540;;G;B;=        0,3960;;=        1,0020;       4,6500;       7,7100;       0,1000;       0,2000;      32,8900;>    20000,0000;=       26,0000;;      23,2000;      22,9600;       0,2000;       1,8800;;<        0,0030
70;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/03/2018;09:00:00;AUSENTE;=       85,7000;;;;=    14812,0000;=        8,9100;;;;   44217,1000;;=        2,0000;=      209,0000;=      648,8000;;=     2867,0000;=        0,0450;=        0,6520;;;;B;=        0,2870;;=        0,9010;       7,1800;       7,5600;       0,2000;       0,4000;      28,6000;>    20000,0000;=       29,0000;;      19,9200;      21,2000;       0,4000;       3,6100;;
71;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/06/2018;08:35:00;AUSENTE;=       85,2000;G;G;G;=    10324,0000;=        9,6000;G;;;   25768,0000;G;=        3,0000;=       88,0000;=      601,5000;G;=     1935,0000;=        0,0130;=        0,0730;G;;G;B;<        0,0640;;=        1,7200;       7,1800;       7,2000;       0,2000;       0,7000;      15,7500;=    17283,0000;=       10,0000;;      12,3200;      11,4700;       0,7000;=        1,8900;;G
72;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;25/09/2018;09:10:00;AUSENTE;=       66,0000;B;<        0,0060;B;=     2749,0000;=      179,1000;       0,0140;;;    9149,1000;B;       2,0000;     342,0000;=      141,4000;       8,2300;=    13834,0000;       0,0610;       0,2790;       0,2480;;<        0,0110;B;       0,1860;;       1,3000;       9,3500;       7,5900;       0,2000;       0,4000;       5,1800;=     4760,0000;=      107,0000;;      17,3900;      18,4600;       0,1000;=      137,1200;;       0,0600
73;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;27/12/2018;08:33:00;AUSENTE;=       95,8000;G;G;G;=    16199,0000;=        5,5900;G;=        2,0000;;   57751,1000;G;       3,0000;     823,0000;;G;=      865,0000;<        0,0100;       0,0520;G;;G;B;<        0,0640;;       1,3180;       6,8700;       8,0600;       0,2000;       0,2500;      34,8100;>    20000,0000;=       25,0000;;      22,5000;      23,4200;       0,2500;       2,0900;;G
74;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/03/2019;08:34:00;AUSENTE;     121,4000;B;G;B;   19408,0000;=        7,6800;G;;;   49110,2000;B;       2,0000;G;=     2419,6000;G;=      685,0000;<        0,0100;       0,0160;G;;G;B;       0,3240;;       1,3600;       5,7400;       8,0800;       0,2000;       0,4000;      32,1600;    2121,0000;      35,0000;;      19,7500;      18,9000;       0,4000;       3,1000;;G
75;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;26/06/2019;08:48:00;MÉDIA;     106,7000;G;G;G;   13346,2000;=        5,8500;G;;;   34985,0000;G;=        1,0000;G;     727,0000;G;=     5762,0000;=        0,0190;=        0,0380;G;;G;B;=        0,1100;;=        0,6270;       8,6100;       7,7800;       0,2000;       0,2500;      21,9400;   21392,0000;      38,0000;;      10,0200;       8,1000;       0,2500;      10,9800;;G
76;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;25/09/2019;08:37:00;AUSENTE;      54,2000;G;G;G;    3452,0000;=       14,0200;G;;;   16186,0000;G;=        1,0000;G;=       10,0000;G;=    27566,0000;=        0,0330;=        0,0600;G;;G;B;=        0,1000;;       1,1000;       6,9800;       7,2800;       0,2000;       0,3000;       9,5200;    6886,0000;      28,0000;;      17,6700;      18,0100;       0,3000;       7,3000;;G
77;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;19/12/2019;08:40:00;AUSENTE;      98,2000;;;;   15783,0000;=        9,0500;;;;   40390,0000;;=        1,0000;G;=     1046,2000;;=    13265,0000;=        0,0330;=        0,1140;;;;B;<        0,0640;;=        0,4760;       7,7900;       8,1200;       0,2000;       0,4000;      25,8600;   32265,0000;      42,0000;;      21,8300;      23,4300;       0,4000;;;
78;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;19/03/2020;08:34:00;AUSENTE;=      126,2000;;;;=    20173,0000;;;;;   66260,0000;;       1,0000;G;=      108,6000;;=     1153,0000;<        0,0100;       0,0600;;;;B;Z;;Z;       7,5000;       7,5100;       0,2000;       0,2000;      47,8700;>    20000,0000;=       35,0000;;      22,3000;      22,3700;       0,2000;       3,3100;;
79;87420500;-31,335290;-51,060180;Litoral Médio;Lagoa do Peixe;Litoral;TAVARES;Lêntico;22/08/2022;16:12:00;AUSENTE;      59,6000;;;;    8257,9200;=       13,7400;;;;   24485,0000;;       2,0000;G;=        5,2000;;=      206,0000;       0,0190;       0,0810;;;;B;B;;B;      11,0100;       8,5900;       0,2000;       0,5000;      16,7900;   16802,0000;     101,0000;;      19,6500;      15,7700;       0,5000;       9,3200;;
80;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;29/06/2016;11:45:00;AUSENTE;=       17,0000;;;;=       13,9000;;;;;      76,6000;;=        1,0000;=       29,0000;=      648,8000;;=        0,0000;=        0,2130;=        0,2740;;;;B;=        0,8950;;B;       7,6700;       6,3800;       1,5000;       2,4000;;=      192,0000;=       11,0000;;      15,3600;      13,0000;       0,1000;=      107,0000;;
81;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;25/08/2016;12:35:00;AUSENTE;=        2,0000;;;;=       19,6000;;;;;      93,3000;;=        2,0000;=       49,0000;=      920,8000;;=        0,0000;G;=        0,5560;;;;B;<        0,0640;;B;       8,2400;       6,5200;       0,2000;       2,2500;       0,0400;=      376,0000;=       91,0000;;      16,4000;      24,0000;;=      226,0000;;
82;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;24/11/2016;11:17:00;AUSENTE;=        2,5000;;;;=       15,9000;;;;;      80,7000;;=        1,0000;=       31,0000;=      436,0000;;;=        0,1200;=        0,2520;;;;<        0,0200;=        0,1840;;=        0,9490;       6,3700;       6,5500;       0,2000;       1,0000;       0,0400;=       82,0000;=       18,0000;;      22,7000;      21,0000;       0,2000;=       29,0000;;
83;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;23/02/2017;11:03:00;AUSENTE;=        7,7000;;;;=        8,9000;;;;;      64,4000;;=        1,0000;=       24,0000;=      206,4000;;;=        0,1610;=        0,1870;;;;B;<        0,0640;;=        1,6800;       2,8900;       5,7100;       0,2000;       3,0000;;=       82,0000;<       10,0000;;      28,7400;      29,5500;;       1,6000;;
84;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;25/05/2017;12:08:00;AUSENTE;=        9,5000;;;;=       25,7000;;;;;     106,1000;;=        1,0000;=       40,0000;=     1986,3000;;;=        0,1390;=        0,2140;;;;B;=        0,2200;;=        0,9180;       6,2300;       6,2900;       0,2000;       2,0000;       0,0500;=       97,0000;=       14,0000;;      20,1800;      20,1700;;      11,4000;;
85;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;24/08/2017;11:35:00;AUSENTE;=        4,0000;;<        0,0060;;=       18,0000;;=        0,0060;;>     2419,6000;      96,0000;;=        2,0000;=       62,0000;=      770,1000;=        8,9700;;=        0,1350;=        0,1530;=        0,0900;;=        0,0150;B;<        0,0640;;=        2,3400;       7,7200;       6,1100;       0,2000;       2,0000;       0,0400;=      176,0000;=      195,0000;;      18,6800;      23,8000;;=      834,0000;;=        0,0770
86;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;24/11/2017;09:45:00;AUSENTE;=       10,3000;;<        0,0020;;=       13,3000;;<        0,0030;;;      80,1000;;=        1,0000;=       25,0000;;=        2,5000;;=        0,1550;=        0,2500;=        0,0640;;<        0,0110;B;=        0,1430;;D;       6,2600;       6,3700;       0,2000;       1,5000;       0,0400;=      130,0000;=       13,0000;;      23,7600;      21,8900;;      50,7200;;=        0,0170
87;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;22/02/2018;11:12:00;AUSENTE;=       10,5000;<        0,0030;<        0,0020;<        0,0040;=       15,9000;;<        0,0030;;;     393,4000;<        0,0040;=        2,0000;=       21,0000;=     1203,3000;=        0,8640;;Q;=        0,1830;=        0,0340;;<        0,0110;B;=        0,0743;;=        0,7960;       4,7700;       6,2000;       0,2000;       1,8000;       0,1900;=       78,0000;<        7,0000;;      24,0100;      24,1800;;       9,0600;;=        0,0310
88;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;23/05/2018;13:05:00;AUSENTE;=       18,1000;<        0,0030;<        0,0020;<        0,0040;=       17,7000;;<        0,0040;;;     110,9000;<        0,0040;=        2,0000;=       34,0000;=     1119,9000;=        1,3400;;=        0,1060;=        0,1910;=        0,0340;;<        0,0040;B;=        0,1630;;=        1,9000;       5,9000;       6,0800;       0,2000;       3,2500;       0,0600;=       56,0000;=        9,0000;;      14,9900;      16,1100;;=       24,8200;;=        0,0120
89;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;22/08/2018;13:00:00;AUSENTE;=       21,7000;B;<        0,0020;B;=       14,1000;;<        0,0040;;;      80,9000;B;       2,0000;      46,0000;>     2419,6000;       6,0500;;       0,1510;       0,2370;       0,0700;;       0,0280;B;       0,1490;;       1,6900;       8,0000;       6,3900;       0,2000;       1,4000;       0,0400;=      203,0000;=       38,0000;;      13,6400;      13,9100;;     172,2000;;       0,0190
90;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;21/11/2018;12:54:00;AUSENTE;=       25,7000;B;<        0,0060;B;=       17,8000;;<        0,0040;;;     114,7000;B;       1,0000;      32,0000;=      344,8000;       2,2900;;       0,1920;       0,2430;       0,1020;;<        0,0110;B;       0,8980;;       2,7000;       4,9100;       6,3000;       0,2000;       1,6000;       0,0500;=      160,0000;=       11,0000;;      22,8300;      25,7000;;      18,9400;;       0,0080
91;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;20/02/2019;12:20:00;FRACA;      17,5000;B;<        0,0060;B;      12,6000;;<        0,0040;;;      71,1000;B;       1,0000;      18,0000;=      148,3000;       1,2600;;       0,0940;       0,0990;       0,1140;;<        0,0110;B;       0,0930;;       2,6100;       2,8500;       6,2200;       0,2000;       3,2000;       0,0300;      67,0000;<        7,0000;;      27,0000;      29,9400;;       4,4400;;       0,0070
92;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;22/05/2019;10:54:00;FRACA;      24,1000;B;<        0,0060;B;      13,3000;;<        0,0040;;;     100,2000;B;       1,0000;      47,0000;=      307,6000;=        0,8100;;       0,1300;       0,1510;=        0,0790;;<        0,0110;B;       0,2380;;       1,6800;       2,3200;       6,2400;       0,2000;       2,3000;       0,0500;      58,0000;<        7,0000;;      20,6100;      22,0600;;      10,0000;;       0,0210
93;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;21/08/2019;12:23:00;AUSENTE;      19,3000;B;<        0,0060;B;      13,9000;;<        0,0040;;;      97,9000;B;=        1,0000;      47,0000;=      547,5000;=        4,8300;;       0,2500;       0,3540;=        0,0620;;<        0,0110;B;       0,1600;;       2,3000;       7,0500;       6,3600;       0,2000;       2,9000;       0,0500;     157,0000;      29,0000;;      14,1200;      12,6800;;     134,1200;;=        0,1630
94;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;20/11/2019;13:21:00;AUSENTE;      10,6000;B;<        0,0060;B;      12,3000;;       0,0050;;;      79,0000;B;=        1,0000;      73,0000;=     1119,9000;       2,8900;;=        0,2110;=        0,3390;       0,0930;;<        0,0110;B;=        0,1460;;=        1,1600;       4,6200;       5,6500;       0,2000;       1,7000;       0,0400;     106,0000;      24,0000;;      26,3500;      29,2700;;      75,1900;;<        0,0050
95;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;19/02/2020;12:52:00;FRACA;      13,3000;;;;      10,9000;;;;;      78,1000;;=        1,0000;      33,0000;=      344,8000;;;=        0,1490;=        0,1620;;;;B;<        0,0640;;=        1,2200;       5,8200;       6,6100;       0,2000;       2,5000;       0,0300;      47,0000;<        7,0000;;      27,3000;      28,0600;;      12,7000;;
96;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;23/02/2022;16:30:00;AUSENTE;      20,7000;;;;      14,3000;;;;;     112,0000;;       4,0000;=       28,0000;=      461,1000;;;       0,1530;       0,2330;;;;B;<        0,0640;;       1,4000;       3,5400;       6,2500;;       2,1000;       0,0500;      72,0000;<        7,0000;;      26,4900;      25,9000;;       9,9000;;
97;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;09/08/2022;10:30:00;MÉDIA;      20,0000;;;;      15,5700;;;;;      80,4000;;       1,0000;      59,0000;=      770,1000;;;       0,2480;       1,4600;;;;B;B;;B;       6,1500;       6,2200;       0,2000;       2,0000;       0,0500;     138,0000;      40,0000;;      15,5900;      13,8000;;      77,8900;;
98;87510010;-30,143995;-50,548839;Litoral Médio;Rio Capivari;Litoral;CAPIVARI DO SUL;Lótico;17/11/2022;17:05:00;AUSENTE;;;;;;;;;;     151,2000;;;;;;;;;;;;;;;;       3,8400;       6,3800;       0,2000;       1,8000;       0,0700;;;;      24,2600;      22,9900;;      29,2400;;
